Product Name_amazon,Price_amazon,Rating_amazon,No. of Ratings_amazon,Discount_amazon,Base Product Name,Simplified Product Name_amazon,Product Name_flipkart,Price_flipkart,Rating_flipkart,No. of Ratings_flipkart,Discount_flipkart,Simplified Product Name_flipkart,Score_amazon,Score_flipkart,Recommended Website
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"Lava O2 (Imperial Green, 8GB RAM, UFS 2.2 128GB Storage)",0.007609742220666113,0.19999999999999973,377.0,(20% off),lava o2,lava o2 imperial 8gb ram ufs 22 128gb storage,"Infinix SMART 8 (Rainbow Blue, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 rainbow,0.5961951288896667,0.833333333333333,Flipkart
"Lava O2 (Imperial Green, 8GB RAM, UFS 2.2 128GB Storage)",0.007609742220666113,0.19999999999999973,377.0,(20% off),lava o2,lava o2 imperial 8gb ram ufs 22 128gb storage,"Infinix SMART 8 (Rainbow Blue, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 rainbow,0.5961951288896667,0.833333333333333,Flipkart
"iQOO Z9s Pro 5G (Luxe Marble, 8GB RAM, 128GB Storage)",0.10060615344216378,0.8999999999999999,285.0,(17% off),iqoo z9s 5g,iqoo z9s 5g luxe marble 8gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 64 GB)",0.0,0.6666666666666661,"25,741 Ratings & 1,543 Reviews",18% off,infinix smart 8 galaxy,0.899696923278918,0.833333333333333,Amazon
"iQOO Z9s Pro 5G (Luxe Marble, 8GB RAM, 128GB Storage)",0.10060615344216378,0.8999999999999999,285.0,(17% off),iqoo z9s 5g,iqoo z9s 5g luxe marble 8gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 64 GB)",0.0,0.6666666666666661,"25,741 Ratings & 1,543 Reviews",18% off,infinix smart 8 galaxy,0.899696923278918,0.833333333333333,Amazon
"iQOO Z9s Pro 5G (Luxe Marble, 8GB RAM, 256GB Storage)",0.11154755131515603,0.8999999999999999,285.0,(16% off),iqoo z9s 5g,iqoo z9s 5g luxe marble 8gb ram 256gb storage,"Infinix SMART 8 (Timber Black, 64 GB)",0.0,0.6666666666666661,"25,741 Ratings & 1,543 Reviews",18% off,infinix smart 8 timber,0.8942262243424219,0.833333333333333,Amazon
"iQOO Z9s Pro 5G (Luxe Marble, 8GB RAM, 256GB Storage)",0.11154755131515603,0.8999999999999999,285.0,(16% off),iqoo z9s 5g,iqoo z9s 5g luxe marble 8gb ram 256gb storage,"Infinix SMART 8 (Timber Black, 64 GB)",0.0,0.6666666666666661,"25,741 Ratings & 1,543 Reviews",18% off,infinix smart 8 timber,0.8942262243424219,0.833333333333333,Amazon
"iQOO Z9s Pro 5G (Luxe Marble, 8GB RAM, 256GB Storage)",0.11154755131515603,0.8999999999999999,285.0,(16% off),iqoo z9s 5g,iqoo z9s 5g luxe marble 8gb ram 256gb storage,"Infinix SMART 8 (Timber Black, 64 GB)",0.0,0.6666666666666661,"25,741 Ratings & 1,543 Reviews",18% off,infinix smart 8 timber,0.8942262243424219,0.833333333333333,Amazon
"iQOO Z9s Pro 5G (Luxe Marble, 8GB RAM, 256GB Storage)",0.11154755131515603,0.8999999999999999,285.0,(16% off),iqoo z9s 5g,iqoo z9s 5g luxe marble 8gb ram 256gb storage,"Infinix SMART 8 (Timber Black, 64 GB)",0.0,0.6666666666666661,"25,741 Ratings & 1,543 Reviews",18% off,infinix smart 8 timber,0.8942262243424219,0.833333333333333,Amazon
